Year,Netflix,Amazon Prime,Disney+,Hulu
2012,5.9,,,
2019,6.4,,,
2021,5.6,,,
2012,8.3,,,
2008,5.7,,,
2013,6.7,,,
2014,5.5,,,
2014,5.7,,,
2021,7.1,,,
1994,8.1,,,
2020,8.5,,,
2021,6.7,,,
2015,7.4,,,
2018,6.6,,,
2019,5.5,,,
2017,7.2,,,
2020,8.1,,,
2019,6.9,,,
2012,8.2,,,
2019,7.5,,,
2015,5.5,,,
2005,7.9,,,
2020,6.4,,,
2019,6.9,,,
2021,5.7,,,
2017,6.3,,,
2017,7.4,,,
2010,6.5,,,
2017,6.8,,,
1998,7.1,,,
2011,5.4,,,
2014,6.4,,6.4,
2017,6.5,,,
2013,7.1,,,
2017,7.2,,,
2013,8.1,,,
1998,7.9,,,
2017,6.2,,,
2016,7.1,,,
2016,7.5,,,
2001,8.0,,,
2021,5.6,,,
2019,6.6,,,
2014,6.4,,,
2018,7.1,,,7.1
2018,6.4,,,
2016,5.7,,,
2004,7.5,,,
2017,7.1,,,
2015,5.5,,,
2016,8.5,,,
2018,5.5,,,
2021,5.7,,,
2021,6.1,,,
2018,7.6,,,
2020,7.1,,,
2012,7.8,,,
2019,6.5,,,
2019,5.4,,,
2012,7.5,,,
2021,7.0,,,
2007,5.8,,,
1997,6.1,,,
2008,6.1,,,
2020,6.1,,,
2013,5.6,,,
2020,6.1,,,
2021,6.8,,,
2018,6.6,,,
2019,7.0,,,
2016,7.1,,,
2019,5.9,,,
2018,8.4,,,
2008,7.6,,,
2018,6.4,,,
2018,5.9,,,
2003,5.8,,,
1990,6.9,,,
2010,5.6,,,
2016,6.3,,,
2018,6.1,,,
2020,6.4,,,
2011,5.1,5.1,,
2014,7.1,,,
2019,6.2,,,
2014,7.8,,,
2013,5.8,,,
2015,5.5,,,
2019,5.3,,,
2010,7.5,,,
2018,6.8,,,
2018,5.5,,,
2017,6.9,,,
1989,5.3,,,
2021,6.9,,,
2013,6.4,,,
1998,5.4,,,
2016,6.9,,,6.9
2017,7.8,,,
2019,6.9,,,
2017,6.5,,,
2016,7.3,,,
2017,6.1,,,
2018,6.4,,,
2019,5.7,,,
2018,7.7,,,
1995,5.2,,,
2020,5.9,,,
2007,6.9,,,
2013,5.6,,,
2016,7.3,,,
2016,5.9,,,
2017,7.9,,,
2017,7.7,,,
2018,6.6,,,
2019,6.4,6.4,,
2020,6.1,,,
2018,7.2,,,
2006,7.2,,,
2015,6.5,,,
1993,5.6,,,
2017,6.0,,,
2010,8.4,,,
2019,5.2,,,
2013,7.2,,,
2021,5.8,,,
2018,7.0,,,
2020,6.9,,,
2018,7.4,,,
2021,6.3,,,
2021,7.8,,,
2019,6.1,,,
1980,7.0,7.0,,
2017,6.8,,,
2012,6.5,,,
2020,5.3,,,
2017,6.4,,,
2015,6.3,,,
2004,7.0,,,
2019,7.7,,,
2009,5.6,5.6,,5.6
2018,7.4,,,
2002,5.2,5.2,,
1998,7.6,,,
2021,4.4,,,
2016,7.9,,,
2019,6.1,,,
2021,6.6,,,
2004,5.9,5.9,,
2016,7.6,,,
2015,5.3,,,
2020,5.4,,,
2019,7.8,,,
1998,7.7,,,
2015,6.4,,,
2014,5.7,,,
2017,5.5,,,
2018,6.3,,,
2009,7.2,,,
2019,6.8,,,
2018,6.7,,,
1992,7.2,,,
2020,6.0,,,
2015,5.3,,,
2011,6.5,,,
2018,6.9,,,
2018,5.5,,,
2016,6.1,,,
2017,6.5,,,
2018,7.2,,,
2016,6.5,,,
1998,7.8,,,
2007,5.6,,,
2018,5.8,,,
2011,7.2,,,
2018,5.9,,,
2020,6.8,,,
2013,7.8,,,
2018,6.4,,,
2005,7.4,,,
2019,7.6,,,
1996,6.6,,,
2018,5.8,,,
2018,6.0,,,
2020,7.2,,,
2019,5.7,,,
2004,6.7,,,
2016,6.7,,,
1997,5.7,,,
2001,6.0,,,
2019,5.8,,,
2020,7.1,,,
2008,6.0,,,
2020,7.5,,,
2014,6.2,,,
2018,7.3,,,
2021,8.4,,,
2016,7.5,,,
2017,7.3,,,
2017,7.5,,,
2020,7.4,,,
2020,5.8,,,
2016,7.6,,,
2018,7.6,,,
2017,6.5,,,
2018,5.4,,,
2018,5.2,,,
2003,5.8,,,
2009,7.8,,,
2019,5.9,,,
2013,5.3,,,
2011,8.2,,,
2008,7.7,7.7,,
2019,7.0,,,
2019,6.6,,,
2016,6.8,,,
1995,6.8,6.8,,
2015,7.3,,,
2016,6.3,,,
2016,5.7,,,
2021,6.2,,,
2017,6.9,6.9,,
2018,6.2,,,
2009,7.5,,,
2011,7.7,,,
2019,5.4,,,
2019,5.3,,,
1979,8.1,,,
2007,6.7,,,
2009,4.9,,,
2010,7.5,,,
2020,7.8,,,
2011,5.4,,,
2014,7.4,,,
1998,5.9,,,
2020,6.5,,,
2014,8.0,,,
1997,5.6,,,
2016,6.0,,,
2014,8.0,,,
2019,6.5,,,
2017,6.5,,,
2018,6.4,,,
2017,5.3,,,
2019,6.1,,,
2015,6.6,,,
2018,7.1,,,
2017,7.4,,,
2009,8.0,,,
2017,6.2,,,
2008,7.5,,,
2012,5.9,,,
2015,6.6,,,
2005,5.5,5.5,,
2011,7.3,,,
2016,5.9,,,
2019,6.2,,,
